;Review;Class
14;Primeramente me encantó el servicio, el personal esta realmente capacitado, me hospedé en las habitaciones más nuevas del hotel, pero el área de cabañas tiene una vista espectacular hacia el Popocateptl, tiene lugares realmente relajantes, el área donde sirven el desayuno es muy agradable. Puede ser un hotel familiar y bussines class. Sin dudarlo regresaría.;5
15;Paseo del Prado es una zona de paseo de la isla que lleva desde el Malecón hasta casi el Capitolo. Te puedes imaginar señoras y señores bien adobada, sin ensamblar paseos. por esta pasarela mostrando sus mejores armario la sombra de su sombrilla en la soleada tarde de primavera;5
16;El paseo es muy bonito, pasas por abajo y por arriba de avenidas, lo q mas me impresiono fue la limpieza del agua, parece una alberca, es divertido y un paseo muy lindo! No se lo pierdan!!!;5
17;Todos los días que estuve tuve que bajar 2 y hasta tres veces porque no funcionan las llaves para abrir la habitación.  Además, había varios huéspedes sin cubrebocas y no respetan el número de personas en el elevador.  No volveremos a este hotel.;2
18;Un hotel un poco antiguo, pero que cumple muy bien con lo que promete. Tiene un rico bar y piscina, además hay shows en las noches super buenos para pasar un buen momento. La gente del hotel es encantadora, lo que si es que el aire acondicionado suena demasiado, y diria por que hay habitaciones muy viejas. Muy limpio todo. Queda lejos de el centro de la ciudad eso si.;3
19;El hotel en su generalidad está adecuado, limpio y habitaciones espaciosas, buen restaurante, y excelente ubicación, a pocos minutos de la zona centro y enfrente del parque Fundidora y Cintermex. Solo falta cuidar un poco el área de alberca.;4
20;Estuve en este hotel hace unos dias,aparte de la excelente ubicación en el centro de la Habana Vieja no se lo recomiendo a nadie, Las habitaciones sucias, al igual que otros españoles comentamos que las colchas muy sucias o gastadas y las toallas con roturas u oxido como las mias daban asco, el desayuno pesimo ,comprendiendo que estabamos en Cuba  y hay carencias pero no pago por suciedad, como contrapartida diré que tiene una piscina que para despues de callejear no está mal ,a ese hotel no volveré;2
21;tienen una buena variedad en el menú. son muy rápidos para atenderte y la comida y salsas tienen muy buen sabor.;4
22;"Almorzamos allí durante la semana. No estaba muy lleno. El servicio estaba bien, la comida es regular, y mojitos fueron nada especial. Teníamos un buen almuerzo, pero esperaba más del lugar.
P. S. es bastante calor dentro.";3
23;hay mucho olor en las habitaciones a algun producto quimico, el aire no funciona bien y hace ruido, y lo peor, encontre y mate una cucaracha en el baño.En general le falta una adecuación a todo el hotel de forma urgente, considerando el precio de las habitaciones;2
24;El ambiente era muy relajado y agradable. De las cuatro platos, sólo uno, la crema de sopa de alubias era muy bueno. Pero los rillenos no eran muy sabroso. Los camarones de coco y el mango era overfried salsa no que vinos frescos. El salmón...en la ensalada de salmón ahumado estaba muy soso.Más;5
25;Estuvimos en familia. Un hermoso lugar para descansar y nada mas. Sin actividades (a pesar de estar anunciadas en cartelera), shows muy pobres, comida poco variada, tardaron en resolver un tema con WiFi, y hasta que no nos quejamos duramente no nos daban información fehaciente y adecuada. Es una lastima que teniendo una infraestructura tan adecuada no la aprovechen con un buen servicio. No volvería.;4
26;Buscando un restaurante para sentarse, nos encontramos con el recepcionista del lugar que nos convenció que se liberaría una mesa en la terraza y que el lugar era una casa de familia que hacia comida. La mesa no se libero. Cuando nos trajeron la carta...Más;5
27;son las palabras que describen no sólo de metro pero todo Medellín. muy acogedora y cálida ciudad. excelente transporte, clima y comida.;5
28;Excelente restaurante, ofrece opciones a la carta o menú degustación con una cocina de muy buen gusto y con ingredientes locales preparados con maestría. Los visité con mi esposa para cenar y la experiencia fue muy placentera, desde la recepción hasta la despedida el servicio...fue muy bueno, los tiempos bastante cómodos y la visita fue hasta educativa en términos de gastronomía. Lo recomiendo ampliamente.Más;4
29;Vale la pena el mirador,de ahí en fuera esta normal. Subir por el funicular, vendimia, hay un hotel ahí. También te suben en un tour, cobran 120 por persona, recomiendo ir por su cuenta al Pípila por el funicular sale más barato.;3
30;Nuestra habitación tenía unas vistas estupendas del océano, y que era una ventaja memorable. Pero todos los demás recuerdos será malo: los manteles sucios, pésimo desayuno, cucarachas en los muebles por el ascensor, pelo sobre la alfombra y las sábanas, indiferente a grosero personal de recepción ... y además el increíblemente ruidoso fiestas en la piscina por las noches de miércoles a domingo. Por lo que quiero decir, en el piso 19, no daba a la piscina, con las ventanas cerradas y el aire acondicionado funcionando, siendo incapaces de dormir debido a la vibración amplificada base. Y por supuesto, la mañana siguiente la piscina era sembrados con latas de cerveza y colillas de cigarrillos. Nunca me alojaría aquí de nuevo.;2
31;Mientras te hospedes @ la Villa Del Palmar Flamencos que me fue la víctima de un robo de nuestra suite. ¡Y ropa de mujeres de efectivo eran robaron mientras estábamos sentados junto. ¡Numeroso personal del complejo tenía acceso a la habitación, que había encontrado con mantenimiento, gente de mantenimiento y la limpieza chicas (lo cual es de esperar), y alguien revisar el bar de honor. Yo reporté el incidente y era menos de w satisfechos/la respuesta del personal del resort. Si te seleccionar el complejo como tu destino de vacaciones ten cuidado con tu dinero y pertenencias personales y espero que no te victimized como yo...;3
32;Este sitio es una reliquia de la historia habanera.Quien conoció esta plaza en los años 80-90 realmente no podia imaginar que pudiera recuperarse.Estaba totalmente destruido,lleno de basura y escombros.Ha sido grandioso el esfuerzo de la oficina del historiador y del estado cubano en general para restaurar esta hermosura donde vivieron en su epoca numerosas familias importantes de la habana.No dejen de visitar este sitio donde podran apreciar valores arquitectonicos unicos en Cuba;5
33;Excelente opción para viaje familiar o de negocios, las personas que atienden tienen buena disposición de ayudarte. El hotel a pesar de que es antiguo, está arreglado para que sea cómodo y funcional. Muy buena opción;4
34;Muy buen servicio, yo fui a un desayuno, el cual estuvo delicioso y a un precio no excesivo. Por qué me obligan a poner 100 caracteres en esta sección???;5
35;Mi marido y yo hemos estado viajando a Grand Velas por 10 años y tener una experiencia maravillosa cada año. El personal es simplemente increíble, la instalación muy bien cuidado, y nuevos programas para niños son de primera categoría. Mis 10 años encontramos el club de niños y club de adolescentes para ser todo lo que podrías desear. La nueva zona de Club fue una gran adición, y el personal de apoyo que son algunos de nuestros favoritos muy!;5
36;No nos gustó. No está cerca de la habana vieja, por lo cual está lejos de todo lo turístico y hay que ir en taxi hasta alla. La habitación era normal, pero cuando abríamos la ducha se mojaba todo el baño...  El desayuno era buffet pero no era rico. Si uno quiere hacer una limpieza intestinal por 3 dias, tomarse 2 vasos de jugo del desayuno.  A la noche en el pasillo habia carcajadas y gritos que no dejaban dormir, llamamos a recepción y nadie atendió. Terminamos prendiendo el aire acondicionado que era super ruidoso para no escuchar a los borrachos. Pedimos agua caliente en el bar, para cargar un termo y nos trataron de mandar a otro lado. Al final lo llenaron de mala gana. Lo único bueno del hotel era la banda que tocaba música cubana por la noche.;2
37;"Nada más entrar en la habitación nos encontramos una CUCARACHA grande muerta (el que esté muerta habla de un problema claro de limpieza, asumo que hay cucarachas en La Habana) Que en el mármol del lavabo hubiera un redondel manchado de haber puesto una taza de café y el estado vergonzoso de limpieza de toda la tapicería (cortinas, colchas y tela de sillas y sillones que daba asco tocar) me lleva a comprobar las almohadas quitándoles la funda, BINGO; círculos amarillos de diversos tamaños e intensidades de no haber sido lavadas regularmente ni esporádicamente. Cuando me dispongo a llamar a recepción para que nos cambien las almohadas (era nuestra última noche en La Habana, de luna de miel, agotados del viaje desde los cayos y estábamos dispuestos a no dar demasiada importancia a…";3
38;Es un ambiente ideal para pasar en familia disfrutando de una buena atención y exquisita comida internacional y Cubana.;5
39;Hola a todos, la verdad que hacia mucho que no escribia, pero siento la necesidad de escribir , desde el mal asesoramiento de la agencia Almundo a el mal servicio del hotel. Contrate dos noches para despues ir a los cayos. Al llegar al lobby del hotel habia dos personas a las que me presento para hacer el check in, me dijeron que espere y una le estaba mostrando en la pantalla de la computadora algo relacionado al hotel, a los 15 minutos me atiende otra persona para tomarme los datos. Es un edificio que ocupa una manzana con 25 pisos, con un hall importante, 6 ascensores, de los cuales andaban 3, durante el dia funcionan con ascensoristas q te llevan a alguno de los 25 pisos. La habitacion amplia con un baño sin bidet, cama amplia y amoblamiento de los años 80, sin…;2
40;"Al llegar a este hotel son recibidos por un personal muy amable, el vestíbulo es grandioso, el check-in es rápido y eficiente. Mi habitación era muy mal ventiladas, no había agua caliente, mal gusto y en general con gran necesidad de ""refrescante"".  El desayuno de la mañana estaba por debajo de la media para este nivel de hotel. Me fui después de 1 día para cambiar a una mejor alojamiento. La Habana tiene mucho que ofrecer si te gusta la historia, arquitectura y cultura por encima de todo los cubanos son muy amables y su cocina tiene que ser descubierto.";2
41;Me fui en mi camino a Varadero. Cuando llegamos dama de la recepción me dijo que esperar unos minutos para conseguir mi habitación (15:30). tras unos minutos, dijo el check-in a las 16:00. Luego me dieron la habitación a 16:30 después de un largo vuelo. Bien, cuando llegamos a la habitación, no A/C.  Fui a recepción y nos dijeron que era un problema con el aire acondicionado en todo el hotel y tomar algunas horas. De todas maneras, me dejó su hotel al día y todavía tener el aire acondicionado no funcionaba.  Habitación estaba muy caliente y sucio, colchón demasiado blandas y mantas sucias. Restaurante no tiene una buena selección. el desayuno buffet y por la noche era incluido - no líquidos (pero demasiado caro a $2,50 una coca-cola).  Pero buffet no era muy buena, era más como…;2
42;Aunque pequeño, está ubicado en el corazón de la ciudad, rodeado de restaurantes y a un costado del Teatro Juárez. Es ideal para sentarse a descansar y sacar tu mapa de la ciudad. También es un buen lugar para contratar un recorrido con la estudiantina (callejoneada);4
43;El 24 de diciembre fui a comer en compañía de mi familia, la carne que es su platillo principal de calidad de regular a buena, pero el platillo so presentan solo, solo carne y ya. Pregunté si lo acompañaban con verduras, papa asada o algo...Más;4
44;Nos fue excelente con el servicio el personal muy amable pero las habitaciones muy viejos y sucias a mi bebe la picaron. Los restaurantes muy ricos. Pero le falta una buena remodelación de habitaciones porque si nos afectó un poco.;5
45;Linda experiencia, gran calidad humana de los guías, la comida excelente. Terrible el estado de los alojamientos, con mi hija llevamos cuatro días con picaduras de chinches y al parecer los trajimos a Bogotá. Costo - beneficio no vale la pena. Los gatos y perros de los alojamientos los tienen en condiciones lamentables.;5
46;Largas filas para entrar, tickets caros, cobran por las cámaras fotográficas no profesionales y realmente no vale la pena ni el tiempo ni el precio de acceso.;4
47;El staff es súper simpatico, la comida es buena, las habitaciones son muy agradables y la ubicación muy agradable por la playa donde se puede caminar a gusto. Las albercas son variadas y amplias. No te pierdas un masaje en el spa, son de ensueño!;5
48;Viaje con mi familia, los animales están bien cuidados y muy padre.Solo que realmente no tienen cuidados de COVID. No tienen el control ni aforo máximo de las personas que acceden al parque ni a la zona de comidas ni tiendas. El recorrido en vehículo lo haces a vuelta de rueda por tanta gente qué hay! Y tardas hasta 4 o 5 horas en dar el recorrido. Las personas no guardan la distancia y no hay personal al cuidado de esos detalles. ;5
49;Nos fuimos a la fortaleza en la noche para ver la ceremonia de canon. Era lo único en Cuba, que comenzó a tiempo! Tienes que llegar temprano para conseguir un buen espacio para ver.La ceremonia estuvo interesante (Ish), pero bastante prolongarse para disparar una canon. Era gratis.;4
50;"he probado el cabrito en  otros restaurantes y me gusta mas su sabor y su presentación creo que ya no es lo mismo que antes.
no se si estaba muy grande el chivo o ke quien sabe pero no me gusto prefiero ir a otro...Más";3
51;La vista maravillosa desde el hotel, los barcos, el paseo en Yate estuvo genial, sobre todo por la noche las luces se ven increibles y caminar a la orilla ya sea de noche o dia a cualquier hora es un puerto hermoso.;5
52;la verdad esta muy bien diseñado, es muy agradable a la vista y los guias de las lanchas muy simpaticos, el precio me parece razonable para la distancia que se recorre;3
53;"Me he alojado en unos cuantos todo incluido en México pero había oído cómo increíble Grand Velas era así que era muy ansiosos de mi estancia allí. Habiendo dicho eso, no era WOW'ed. El complejo real, el vestíbulo y la zona de la piscina están muy bien, pero yo estaba un poco decepcionado con la comida en los restaurantes de especialidades, como me esperaba una muy alta calidad similar a un hotel de EP debido a los precios muy altos. dijo que el mini bar completamente de stock incluyendo pica como patatas fritas, frutos secos y chocolate era un bonito detalle.

Mi mayor problema con el hotel era el servicio. Durante todo el tiempo que estuve allí, el acceso a Internet inalámbrico no estaba funcionando. Tienes que pagar 15 dólares por día para el internet, y no funcionaba. Llamé a recepción y me prometieron que tener a alguien que mirar y pedimos para mi estancia en mi habitación y esperar, 2 horas más tarde y nadie apareció. llamé de nuevo, se disculparon y me dijeron que esperar otra vez hice lo que yo estaba de viaje de negocios y necesitábamos hacer correos electrónicos de trabajo. Otra hora pasado y nadie apareció, finalmente me bajó al centro de negocios me dijeron que alguien me llamaron para solucionar una vez más nadie. Pedí un gerente de seguimiento conmigo y nadie. Finalmente esa noche fui a hablar con el director y él ni siquiera hablan inglés, así que los botones debía traducir. No estoy tratando de sonar arrogantes, pero en un hotel de cinco estrellas y lugar como México donde usted tendrá una gran cantidad de norte americanos alojándonos, necesitas tener un gerente quien puede hablar inglés.

pregunté por el gerente de la mañana (a quienes no hablan inglés) de seguimiento conmigo antes de hacer el registro de salida al día siguiente, pero por supuesto no llamado. En el registro en su resolución ofrecen era que no me cobraron por mi conexión... por supuesto que es mejor no me cobraron, no reciben internet todo el tiempo que Pasé allí... que no es una resolución! Muy decepcionante ...";3
54;nos hospedamos en este hotel, el pasado diciembre, llegamos a la habana sabiendo q los hoteles del lugar no eran muy buenos, asique fuimos preparadas. el hotel en gral no esta tan mal, tiene ascensor, wifi pago. el dia q llegamos no habia agua caliente pero con amabilidad al dia siguiente nos dejaron elegir otra habitacion q tuviera agua caliente, en gral el personal es amables, siempre y cuando les dejes propina, en toda la habana ocurre lo mismo.  la ubicacion es muy buena, queda cerca del malecon y unas 20 cuadras a pie de la habana vieja;2
55;"Actividades entretenidas y originales!! Las albercas excelentes y limpias, comida rica y ambiente familiar. Vista al mar preciosa y servicio excelente! Lo recomiendo mucho, vengan a visitar este hotel, pasas excelentes vacaciones y la gente es súper amable, todos son súper atentos sobre todo los chicos de las actividades (Candela, Carlos, Miguel, Gilberto, Jorge y Adilene).

👍🏻👍🏻👍🏻🌴👌🏻";5
56;Perfecto lugar para cenar romanticamente la primer noche el La Habana......el chef es el dueño del lugar , el plato a elegir es la Langosta Hemingway.....ALUCINANTE 100% recomendable y buen precio.;5
57;colección muy bien presentada y se rellenan maravillosa. fascinante. El personal es muy servicial. No se puede perder. Vale la pena comprar el libro guía muy detallada, que tienen en inglés. Una muy buena experiencia y aprendizaje aesthatic.;5
58;Como todo en Cuba, se nota falta de muchas cosas, mantenimiento en los ascensores, cmida de escasa calidad por tratarse de lo que dicen un hotel de cuatro estrellas. Las habitaciones confortables, igual que los baños. Desde los pisos altos la vista es buena, sobre todo por el cercano mar y los edificios de la Embajada de Rusia, bastante cerca.;3
59;"me parece que este tipo de restaurante ya se ve un poco pasado, el servicio es regular, los precios son caros y la decoración es PESIMA. para una animalista me parece que exhibir a los animales ""cazados"" es de muy mal gusto,sumandole las luces de...Más";2
60;Excelentemente bien buena calidad del personal, atencióm rapida y eficiente, habitaciones acojedoras y muy comodas clima agradable, estancia confortable y tanto la cama como el sofa muy comodos para descansar;4
61;Visita obligada por ser el único monumento Colombiano reconocido por la Unesco como patrimonio de la humanidad. Una hora de visita es más que suficiente;4
62;Es un lugar agradable con lo indispensable para pasar un fin de semana nosotros nos hospedamos ahí para asistir a una boda en la ciudad, y el personal que labora ahí es muy Cortez y eficiente desde los asistentes del estacionamiento y los recepcionistas, la habitación cómoda en el piso de socios Fiesta Rewards, gracias a Sergio muy accesible y atento. ;5
63;Los domingos es Gratis. Excelente Museo. Me parece increíble el Oro, y la colección de piezas originales esta impresionante. Lo mejor esta en el 3er piso! ;5
64;Bar moderno que de alguna manera todavía parecía estar lleno de historia, el servicio y la comida era buena y cócteles bueno;4
65;Excelente ubicación, especialmente si estás frente a la plaza, puedes ver a los loros salvajes entrar y salir. La ubicación es excelente para todos los puntos que desee visitar en Monterrey y sus alrededores. Es México, espero cierta dosis de indiferencia y abandono. Los acepto como parte de viajar a México. El servicio en este hotel es horrible. Pide más de 2 toallas en una habitación de 2 camas, espera 2 horas. Pide una cobija (las habitaciones no vienen con cobijas), espera hasta el día siguiente. Pide una llave de habitación extra, NO. El personal de recepción es grosero, lento y no puede ayudar de ninguna manera, excepto en el registro y la salida. Quiere información sobre una función de hotel, prepárese para preguntar a 3 - 5 personas y correr en círculos. El conserje;4
66;Un lugar emblemático en La Habana, exquisitos tragos a base de su característico Ron, si visitas la Habana , no te lo podes perder;5
67;Es muy agradable, la vista es maravillosa, no probé la comida, pero las bebidas no son buenas pedí una margarita y me dieron una margarita frozen es decir algo semejante a un sorbete de limón muy dulce sin sabor a tequila.;5
68;Un lugar muy limpio ordenado hermoso con áreas amplias que vale la pena disfrutar en familia un momento, primera vez que lo visito pero vale la pena acudir.;3
69;"divino espectaculo
para no perderslo
nada que ver con el Tropicana que es caro porque hablamos cenado antes y te sale 105 dólares por persona con el show incluido y no es buena la comida
en cambio acá todo era espectacular
tanto fue así que...Más";5
70;Cuesta 8 CUC, nosotros llegamos en un barquito que cruza la bahia, pero hay que caminar como 800 mts para llegar, es algo diferente porque pasamos a un costado de la casa del Che y del Cristo, lo que nos entretuvo a mitad del camino. Si pagas un adicional de 1 CUC puedes estar en la azotea y ver mejor, te dan una bebida por este pago extra. Vale la pena pero solo por conocer un poco mas, no me pareció nada extraordinario. ;4
71;Tome un paseo por la orilla del mar. Podrá ver la fortaleza, viendo los coches clásicos. Gran ejercicio, una experiencia agradable;4
72;Lugar precioso para ver atardecer y conocer la ciudad desde la otra orilla.Hay unos impresionantes acantilados y fosas.También hay cañones y pasadizos,además de la fortaleza en sí con su faro.Muy recomendable.;4
73;"Fuimos por las opiniones que leímos, que eran muy buenas,  y no defraudó! Atencion genial,  comimos muy bien. Buena relación calidad-precio. No es barato pero el precio es correcto a la calidad.  Nada que no pagarías en España, pero con ese puntito cubano ;)
Muy...Más";5
74;No puedes  perderte  la  visita al museo,  un paseo  por el  tiempo recorriendo la evolucion de la humanidad.;5
75;El hotel en general es lindo y muy acogedor. Sin embargo, esta vez comentaré aquellas cosas que no agradaron mi estadía. El check-in es a las 4 de la tarde. Una vez que esperamos poder entrar a nuestras habitaciones, sucedió que la nuestra estaba con un hedor insoportable a humedad motivo por el cual reclamamos y pedimos otra habitación. Al principio nos dijeron que no contaban con otra pero luego de seguir discutiendo y exigir el cambio nos la dieron. El servicio de despertador no funcionó el primer día, telefoneé la noche anterior para solicitar el servicio, sin embargo, en la mañana nadie llamó. Nos levantamos atrasados y no tuvimos la oportunidad de desayunar antes de salir a nuestro tour.  Almorzamos en el restaurante italiano, la comida deliciosa y el personal muy amable.;2
76;El restaurante es en su mayoría muy bien porque es contemporáneo, con un ambiente agradable y un servicio profesional. La comida es buena, pero no tiene nada de especial. Puedes conseguir igual de buena comida en otro lugar, lo que es bueno acerca de este...restaurante es el hecho de que es un poco más turística amable y profesional.Más;5
77;Deberían quitar los puestitos que pone  de juguetitos chinos, hay mucha gente, es hermoso lleno de árboles y muchos cafecitos al rededor  para descansar contemplando todo.;5
78;¡¡Una turistada!!. Todos a los que preguntas en La Habana, te lo recomiendan y no tiene calidad ninguna. Mucha gente interesada en que acudas pero porque llevan comisión, o eso parece. De hecho, mis dos hijos pillaron diarrea. Las camareras muy monas y atentas y...Más;4
79;De paseo por Cuba con amigos, Un taxi nos llevó allí y quedamos sorprendidos por lo distinto entre lo que se ve de afuera y lo que hay dentro. Un restaurante agradable con buena comida típica y un servicio rápido y eficiente , aunque el...Más;4
80;Este es un hotel con mucha historia y gran infraestructura. Si bien tiene excelentes instalaciones, con habitaciones amplias y confortables, se puede observar en los pasillos u otros sitios comunes el desgaste sufrido por el paso del tiempo. De todos modos creo que es una excelente opción para dormir en La Habana. Dispone de una oferta gastronómica muy buena, con un desayuno excepcional tipo buffet y varios restaurantes, el del piso superior es de alta calidad. Si vuelvo a esta hermosa ciudad, me volvería a alojar aquí.;4
81;"El Comodore falló para impresionar a nosotros debido a razones siguientes: está mal conservado y no muy limpio. (Las cortinas estaban bastante sucios); los colchones están muy gastadas y las instalaciones del hotel tales como piscina y la playa no son satisfactorios. Hay un aroma en la planta baja unidades bungalows. El personal es amable. Los restaurantes del hotel son le faltaba imaginación y más importante variedad ( dado el estado cubano es mejor que muchos otros lugares) abre para el desayuno de buffet es aceptable. El hotel está bastante lejos del centro. Un taxi cobra 10 dólares por viaje al centro de la ciudad.";2
82;Descampado en mitad de la nada teóricamente muy turístico, pero no tiene ningún tipo de interés, excepto 2 relieves de históricos revolucionarios (Ché Guevara y Camilo Cienfuegos).Completamente prescindible en la visita a La Habana.;3
83;bueno mayo del 2014 en restauracion y lei por ahi por dos años mas ...es una replica del capitolio yanqui solo que tiene 11 metros mas alto esta bueno igual pasar por ahi y ver tambien el teatro nacional de cuba tambien en restauracion lo lindo que va a estar todo dentro de unos años como me gusraria volver;4
84;Buenas habitaciones muy espaciosas y con buenas instalaciones.  Pésimo que se escucha la música de afuera, imposible dormir!!!  Solo dan una llave por cuarto, no mas... muy amable el personal pero lástima lo demás, para no volver.;2
